Iteration,G1_Total_Projects,G1_Detected_Count,G1_Detection_Rate_pct,G2_Total_Projects,G2_Detected_Count,G2_Detection_Rate_pct
92,633,17,2.6856240126382307,144,6,4.166666666666666
93,633,20,3.15955766192733,144,8,5.555555555555555
94,633,20,3.15955766192733,144,10,6.944444444444445
95,633,15,2.3696682464454977,144,9,6.25
96,633,12,1.8957345971563981,144,5,3.4722222222222223
97,633,8,1.263823064770932,144,4,2.7777777777777777
98,633,17,2.6856240126382307,144,4,2.7777777777777777
99,633,18,2.843601895734597,144,8,5.555555555555555
100,633,18,2.843601895734597,144,10,6.944444444444445
101,633,18,2.843601895734597,144,6,4.166666666666666
102,633,19,3.0015797788309637,144,13,9.027777777777777
103,633,21,3.3175355450236967,144,3,2.083333333333333
104,633,18,2.843601895734597,144,7,4.861111111111112
105,633,17,2.6856240126382307,144,6,4.166666666666666
106,633,11,1.7377567140600316,144,7,4.861111111111112
107,633,14,2.211690363349131,144,5,3.4722222222222223
108,633,17,2.6856240126382307,144,7,4.861111111111112
109,633,14,2.211690363349131,144,6,4.166666666666666
110,633,13,2.0537124802527646,144,11,7.638888888888889
111,633,16,2.527646129541864,144,6,4.166666666666666
112,633,9,1.4218009478672986,144,7,4.861111111111112
113,633,18,2.843601895734597,144,10,6.944444444444445
114,633,10,1.579778830963665,144,9,6.25
115,633,10,1.579778830963665,144,6,4.166666666666666
116,633,15,2.3696682464454977,144,6,4.166666666666666
117,633,15,2.3696682464454977,144,11,7.638888888888889
118,633,11,1.7377567140600316,144,9,6.25
119,633,7,1.1058451816745656,144,7,4.861111111111112
120,633,7,1.1058451816745656,144,7,4.861111111111112
